log_id,timestamp,airport_code,flight_number,departure_city,arrival_city,passenger_count,flight_status,gate_number,airline_name,FastTrack
18,01/15/2022 08:29:48,HEG,DL456,Honghualiangzi,Hekou,305,Delayed,6,Voomm,Standard
19,09/19/2022 18:00:46,PBI,UA789,Lingbei,Žirovnica,121,Delayed,23,Tanoodle,None
20,03/26/2022 10:05:16,TEA,DL456,Vila Franca da Beira,Haradok,165,On Time,21,Yodo,Premium
21,06/10/2022 19:52:26,FCH,AA123,Sukamulya,Koutsopódi,6,Delayed,11,Brainsphere,Standard
22,12/20/2022 04:17:09,AVI,AA123,Sindangkopo,Las Palmas,247,Delayed,21,Gigazoom,Standard
23,04/01/2022 12:38:27,AQP,DL456,Luti,Kimry,183,On Time,29,Muxo,None
24,10/03/2022 15:26:44,GON,AA123,Laguna,Portela,155,On Time,14,Tekfly,None
25,10/25/2022 06:12:50,QSZ,DL456,Mende,Jingdezhen,279,Cancelled,30,Bubblebox,Premium
26,04/24/2022 19:45:57,OBE,UA789,Pukhavichy,Ulundi,326,On Time,6,Bubblemix,Standard
27,01/21/2022 21:51:11,GSI,UA789,Angoram,Wanglinkou,15,Cancelled,11,Avamm,Premium
28,07/03/2022 08:06:27,COE,DL456,Hekou,Blois,328,Cancelled,10,Oyoyo,Premium
29,11/02/2022 18:24:20,TRV,AA123,Da’ao,Panggungasri,53,On Time,11,Babbleopia,Premium
30,08/29/2022 02:10:34,NAR,DL456,Limoeiro,Moita,366,Delayed,3,Devbug,Premium
31,06/09/2022 10:25:44,FDY,DL456,New York City,Méru,134,Delayed,29,Yabox,Premium
32,03/07/2022 00:36:40,AHC,UA789,Nonohonis,Rochester,306,Delayed,6,Zoozzy,None
33,05/19/2022 19:54:42,SOC,UA789,,Dauphin,274,Delayed,10,Kanoodle,None
34,09/14/2022 19:23:32,YAK,AA123,Ampasimanolotra,Veisiejai,133,Delayed,11,Yambee,None
35,12/12/2022 01:41:02,SCE,AA123,Londres,Chambray-lès-Tours,365,On Time,18,Avaveo,None
36,07/08/2022 04:45:30,BSL,AA123,Tamra,Huagu,239,Delayed,12,Tagcat,Standard
37,06/29/2022 23:33:43,WDI,DL456,Lanas,Shanjiao,147,On Time,25,Minyx,Standard
38,02/01/2022 21:12:57,MCE,DL456,Suvorov,Pinyug,73,On Time,21,Skalith,Standard
39,05/09/2022 04:00:14,LKO,UA789,Chittagong,Dongjiao,270,Cancelled,27,Centimia,Standard
40,08/17/2022 16:30:39,KJI,DL456,Niš,Los Algarrobos,242,Cancelled,18,Babbleblab,Premium
41,06/01/2022 02:37:44,BID,AA123,Avignon,Neiva,251,Cancelled,18,Cogilith,None
42,10/09/2022 23:43:13,KOJ,UA789,Kathmandu,Saint-Marcellin,193,On Time,23,Yadel,Standard
43,05/24/2022 15:03:54,YAA,UA789,Krasnodon,Lisiy Nos,323,Cancelled,30,Dynava,Standard
44,05/12/2022 23:12:36,SEB,DL456,Milevsko,Zwierzyniec,138,Cancelled,12,Skynoodle,Standard
45,10/31/2022 05:44:04,YRB,UA789,Numazu,Caçapava,57,Delayed,19,Zoomlounge,None
46,04/16/2022 21:13:46,TDK,UA789,,Dorp Tera Kora,148,Delayed,13,Tanoodle,None
47,01/28/2022 00:24:59,VST,AA123,Omuo-Ekiti,Mayisyan,349,Cancelled,28,Skiptube,Premium
48,12/27/2022 17:36:52,ENU,UA789,Xingang,Ducheng,322,Cancelled,3,Vimbo,Premium
49,02/10/2022 14:34:27,SBV,DL456,Leigongjian,Caparrapí,171,Delayed,23,Dynabox,Standard
50,01/20/2022 05:42:12,HGE,UA789,Tukuyu,Niš,45,Delayed,24,Brainbox,Premium
51,08/04/2022 06:04:04,MCE,AA123,Kambaxoi,Columbus,124,On Time,4,Rhynyx,Premium
52,09/04/2022 12:53:45,CCJ,DL456,Néa Pélla,Hobaramachi,327,Cancelled,26,Miboo,Standard
53,10/16/2022 16:48:32,ODL,AA123,Yong’an,Salamá,375,Delayed,22,Trudeo,None
54,06/16/2022 12:58:30,LCO,UA789,El Sombrero,Diadi,27,Delayed,7,Meeveo,None
55,10/19/2022 16:11:17,RMY,AA123,Trpinja,Formosa do Rio Preto,65,Cancelled,27,Feedmix,Premium
56,12/10/2022 09:10:08,RSW,UA789,Piskavica,Kajanan,80,Cancelled,23,Twinder,Premium
57,01/26/2022 21:33:26,ZRZ,AA123,Tonshayevo,Butere,50,On Time,13,Meeveo,Premium
58,10/09/2022 09:39:13,PHS,UA789,Lameira,Brněnec,249,On Time,14,Linktype,Premium
59,06/30/2022 12:36:13,TSP,UA789,Jiuxi,Iecava,377,Cancelled,23,Rooxo,Standard
60,08/22/2022 00:46:08,VNX,UA789,,Mós,62,On Time,4,Bubbletube,None
61,04/16/2022 16:55:07,HBD,DL456,Aguas Corrientes,Hengxizhen,266,Delayed,16,Janyx,Premium
62,08/26/2022 11:10:24,LNF,AA123,,Nekrasovka,397,Cancelled,30,Lazz,None
63,01/03/2022 11:55:57,KLN,DL456,Mercedes,Brikama,310,Delayed,15,Skidoo,None
64,04/21/2022 15:53:08,IRP,AA123,Yataity del Norte,Hukvaldy,64,Delayed,27,Oba,None
65,11/13/2022 17:07:57,UKH,AA123,Öldziyt,Kairouan,124,On Time,27,Vimbo,None
66,08/31/2022 14:07:06,ENU,DL456,Shazhou,Boston,185,Cancelled,8,Centimia,Standard
67,04/28/2022 18:16:43,HIS,UA789,Vysehrad,Minji,216,Cancelled,30,Yodo,Premium
68,10/31/2022 16:55:41,SSB,UA789,Erie,Estique,386,Cancelled,24,Innotype,Premium
69,05/10/2022 12:56:43,AAM,DL456,Nacka,Longhuashan,141,Delayed,24,Wikizz,None
70,10/08/2022 12:54:56,ITB,AA123,Karangkeng,Kurchaloy,78,Delayed,19,Shuffletag,Premium
71,05/10/2022 18:27:03,PDU,AA123,Lidoríki,Nuku‘alofa,390,Delayed,1,Feedfish,Premium
72,01/22/2022 22:25:38,KHH,UA789,Jasper Park Lodge,Jeponkrajan,320,On Time,26,Feednation,Standard
73,02/23/2022 08:11:26,BND,UA789,Dashiju,Hamar,200,On Time,25,Jaxbean,Standard
74,06/26/2022 10:26:46,LYT,AA123,Zhangjiawo,Côn Sơn,247,Cancelled,21,Fadeo,Premium
75,03/01/2022 21:14:20,RKI,DL456,Oslo,Vuka,323,Delayed,22,Skyba,Premium
76,01/06/2022 11:04:37,KWX,AA123,Raposeira,Huanggang,131,Delayed,3,Innotype,None
77,03/09/2022 04:22:03,HST,DL456,Jiangnan,Triolet,149,Delayed,25,Pixope,Standard
78,07/21/2022 12:19:54,VAF,AA123,Philadelphia,Pipa,186,On Time,13,Skyvu,Premium
79,04/22/2022 14:16:20,MJS,AA123,Kwali,Yên Bái,336,On Time,21,Vinder,Standard
80,07/13/2022 22:09:07,VEY,AA123,Chengjiao Chengguanzhen,Campraksanta,189,Cancelled,14,Riffwire,Standard
81,05/19/2022 04:07:10,QCO,AA123,Cikomara,Rogóźno,213,Cancelled,27,Jaloo,Premium
82,05/03/2022 04:42:30,OSZ,AA123,Jimenez,Haradok,249,Cancelled,9,Skipfire,Premium
83,04/01/2022 19:13:39,NND,DL456,Tagbilaran City,Almeirim,231,Cancelled,9,Youbridge,None
84,04/10/2022 22:59:48,YTX,DL456,Taoxi,Paraíso,196,Cancelled,17,Chatterbridge,None
85,09/30/2022 08:31:14,NYI,UA789,,Oliveira,165,On Time,6,Trupe,Standard
86,12/29/2022 15:38:57,TOA,AA123,Canha,Jōetsu,153,Delayed,21,Devshare,Premium
87,09/19/2022 02:04:38,ASY,UA789,Cileuya,Dolati,202,On Time,1,Teklist,None
88,11/13/2022 12:44:41,FFD,DL456,Adraskan,Suponevo,8,On Time,19,Rhycero,Standard
89,07/05/2022 02:04:06,PTG,DL456,,Lamawalang,147,Delayed,2,Jabberstorm,Premium
90,08/16/2022 23:22:29,GEE,AA123,Decatur,Lunyuk Ode,63,Cancelled,30,Devshare,None
91,04/07/2022 17:14:40,ZYI,AA123,Khromtau,Fuzihe,217,On Time,15,Yadel,Premium
92,04/08/2022 15:25:10,CTR,DL456,Oxelösund,Dadong’ao,235,Delayed,25,Zoonoodle,Standard
93,12/09/2022 09:36:30,SRV,UA789,Si Satchanalai,Gálvez,230,On Time,25,Tagpad,Standard
94,12/26/2022 19:32:18,ASS,UA789,,Nahrīn,145,Cancelled,9,Quaxo,Standard
95,06/04/2022 12:44:30,PHS,UA789,Dabbūrīya,Jorf,202,On Time,25,Feedfish,None
96,08/07/2022 21:33:13,TOB,UA789,Xiji,Dallas,397,Cancelled,14,Gigazoom,Premium
97,03/03/2022 01:07:02,FYN,DL456,Huashan,Bandera,339,Delayed,27,Kwideo,Standard
98,12/28/2022 01:14:28,SYE,AA123,Sanli,Al Jawf,311,Delayed,7,Oyope,None
99,08/23/2022 05:14:08,YFO,UA789,Caofang,Tlogowungu,155,Delayed,26,Gabtype,Premium
100,09/18/2022 02:31:36,KLV,DL456,Ballymahon,Brikcha,102,On Time,5,Muxo,Premium
101,02/06/2022 13:29:19,HYA,UA789,Buenaventura,Yaopi,3,Cancelled,15,Miboo,None
102,06/28/2022 10:37:52,CAO,UA789,Oematnunu,Teuva,33,Cancelled,20,Fanoodle,Premium
103,08/29/2022 03:04:00,LUZ,AA123,Hafnarfjörður,Kobleve,157,Cancelled,6,Geba,None
104,12/18/2022 22:22:24,SCH,DL456,Al Qanāwiş,Cergy-Pontoise,115,On Time,25,Eimbee,None
105,10/25/2022 02:33:38,YZU,AA123,Wasquehal,Florencio Varela,135,On Time,29,Pixonyx,None
106,04/25/2022 05:51:03,FRZ,AA123,Huacheng,Huanshi,202,Delayed,23,Yata,Premium
107,04/28/2022 13:56:03,SFB,AA123,Sofádes,Alacaygan,89,On Time,5,Trupe,None
108,12/11/2022 06:45:57,OSG,AA123,Rejanegara,Jetis,106,Cancelled,18,Twimm,Standard
109,08/23/2022 23:29:58,MGS,DL456,Kargasok,Terenozek,218,Delayed,26,Digitube,Standard
110,08/13/2022 00:57:41,YYZ,UA789,,Perlez,226,Delayed,5,Dabjam,Standard
111,03/27/2022 12:51:49,VVC,AA123,Guaçuí,Vangaži,4,Delayed,21,Thoughtworks,None
112,07/21/2022 07:54:52,LBL,DL456,Barra de Carrasco,Efkarpía,202,Cancelled,22,Voolia,Premium
113,07/03/2022 16:03:25,OTD,AA123,,Baicheng,50,Cancelled,5,Bluejam,Premium
114,11/24/2022 17:56:58,MXU,AA123,Tobias Barreto,Monte Azul Paulista,96,On Time,14,Trupe,Standard
115,09/21/2022 16:40:15,ITU,AA123,Yabuli,Magdaleno Aguilar,316,Cancelled,24,Cogidoo,Premium
116,08/02/2022 17:26:21,IPU,UA789,Las Garcitas,Calumpang,383,On Time,19,Buzzster,None
117,10/13/2022 09:45:34,GTW,DL456,Verkhniy Rohachyk,Yoshii,84,Cancelled,5,Buzzshare,Premium
118,09/25/2022 04:55:45,MPW,AA123,Francisco Morato,Jinsheng,48,Delayed,20,Youspan,Premium
119,09/20/2022 03:04:14,RBF,UA789,Adstock,Kungsbacka,135,On Time,25,Quinu,None
120,12/23/2022 23:33:03,LMP,AA123,Carvalho,Depok,272,Delayed,28,Blogpad,Standard
121,02/14/2022 19:04:06,MHO,UA789,Ikoma,São José de Mipibu,92,Cancelled,16,Yakidoo,Standard
122,08/03/2022 05:49:05,JUO,AA123,Sestroretsk,Tengger,55,On Time,27,Yacero,Standard
123,12/23/2022 10:11:35,XSD,UA789,Pulilan,Kedungkrajan,367,On Time,7,Wikido,Premium
124,12/17/2022 19:37:01,GRC,DL456,Khashuri,Berezovo,274,Cancelled,11,Thoughtblab,Standard
125,03/31/2022 07:07:45,FLF,DL456,Qinglong,Driyorejo,380,Delayed,4,Rhyloo,Standard
126,10/17/2022 13:27:55,SJT,AA123,Québec,Trnava,373,Delayed,12,Camido,Premium
127,09/28/2022 13:25:06,PCT,UA789,Kosong,Log pri Brezovici,125,Delayed,2,Fivebridge,None
128,02/16/2022 08:38:06,HOM,AA123,Santo António das Areias,Yuntan,224,Cancelled,15,Meezzy,Premium
129,05/27/2022 20:50:42,AYN,UA789,Inicbulan,Cambebba,2,Cancelled,28,Shuffledrive,None
130,03/11/2022 22:15:46,MGN,UA789,,Unaí,107,On Time,14,Quamba,Premium
131,08/08/2022 21:01:35,MAV,AA123,Tarko-Sale,Mandeman Daya,229,Cancelled,4,BlogXS,Standard
132,12/19/2022 02:26:07,TDA,UA789,Bolboc,Dollard-Des Ormeaux,172,On Time,28,Cogibox,Standard
133,05/27/2022 22:47:05,OTV,DL456,Dundee,Celestynów,230,On Time,29,Feednation,Standard
134,08/31/2022 22:14:12,PCA,UA789,Zitong,Santana do Paraíso,166,On Time,23,Youopia,Standard
135,10/31/2022 05:19:49,SFO,DL456,Jiyang,Burrel,106,Cancelled,20,Yodel,None
136,07/12/2022 17:07:11,KSO,UA789,Wielgie,Caramanta,10,On Time,10,Katz,Standard
137,12/29/2022 14:52:54,NIT,DL456,Arcossó,Fengqiao,130,Delayed,10,Dynabox,Standard
138,10/16/2022 20:04:44,SZA,AA123,Esteio,Jabłonowo Pomorskie,49,On Time,6,Zoombeat,Premium
139,05/19/2022 19:55:27,KPT,AA123,Kaoshan,Kandangan,399,On Time,1,InnoZ,None
140,08/18/2022 17:35:33,TYN,DL456,Xincheng,Jiangpu,301,On Time,30,Tavu,None
141,08/10/2022 11:47:16,WAZ,AA123,Zigong,Baoxu,162,Cancelled,4,Feedbug,Standard
142,06/29/2022 08:50:53,ECS,UA789,,Shaba,11,Cancelled,24,Eamia,Standard
143,02/19/2022 21:49:43,ZUL,UA789,Cañasgordas,Shushicë,350,Delayed,16,Oyoba,Standard
144,08/12/2022 07:23:06,AOA,UA789,Chor,Duanjia,370,Cancelled,5,Livetube,None
145,08/03/2022 01:17:29,XZA,UA789,Santa Marta,Luozhuang,347,On Time,9,Blogspan,Premium
146,04/06/2022 08:44:38,IKT,AA123,Sājir,Potet,213,Cancelled,20,Avavee,Standard
147,02/06/2022 19:21:31,BLK,AA123,Kisii,Narukan,348,Cancelled,21,Riffpedia,None
148,02/19/2022 00:17:25,XDJ,AA123,Daqiao,Sotouboua,265,Delayed,15,Fivebridge,None
149,05/08/2022 23:41:49,SBR,DL456,Vrangel’,Tessalit,305,On Time,6,Gevee,None
150,10/08/2022 14:26:38,MUJ,UA789,,Mayang,6,Delayed,13,Vitz,Standard
151,12/10/2022 10:30:29,KOQ,UA789,Patabog,Hrvace,206,Cancelled,20,Zoomdog,Premium
152,10/12/2022 23:43:36,NLS,AA123,San Isidro,Prokuplje,140,On Time,25,Fivebridge,None
153,09/15/2022 07:13:57,SON,UA789,Pawłosiów,Rucava,346,On Time,10,Yotz,None
154,05/27/2022 09:37:52,EFG,AA123,Cova da Iria,Suqin Huimin,231,On Time,26,Skyvu,Standard
155,10/10/2022 18:36:34,MZO,DL456,Chat Trakan,Ladhewāla Warāich,285,Delayed,23,Edgetag,Standard
156,12/19/2022 17:56:53,MIN,DL456,Mandaue City,Xingdian,51,On Time,15,Bluezoom,Premium
157,12/13/2022 20:04:41,LTB,AA123,Paizhou,Neklyudovo,396,On Time,7,Roodel,Premium
158,02/15/2022 06:38:09,CUV,DL456,Tabalong,Porto-Novo,173,On Time,19,Blogspan,Standard
159,05/29/2022 20:02:13,EGO,AA123,Kýria,Mrozy,246,On Time,27,Realcube,None
160,03/26/2022 19:43:01,0,AA123,Drahovo,Ulluaya,264,Delayed,28,Devpulse,None
161,10/04/2022 08:15:03,NRL,DL456,Jiujiang,Yongchang,347,Cancelled,8,Jetpulse,Standard
162,06/15/2022 11:07:34,ZTH,UA789,Banjar Cemenggon,Yingyang,89,On Time,23,Voolia,Premium
163,02/26/2022 00:51:10,CHA,DL456,Liulin,Zhenjiang,202,On Time,16,Lazz,None
164,12/13/2022 03:26:50,ATD,UA789,Hacı Zeynalabdin,Niños Heroes,363,Delayed,4,Photobug,Premium
165,12/13/2022 15:56:38,APX,UA789,Nuyno,Kurmuk,46,Delayed,17,Yadel,None
166,06/12/2022 07:41:26,WLH,AA123,Täby,Wadung,126,Delayed,16,Brainverse,Standard
167,05/21/2022 20:04:27,VLK,AA123,,Dalubian,58,On Time,9,Photospace,Premium
168,08/30/2022 10:54:13,YTY,AA123,Dowr-e Rabāţ,Tiguha,358,Cancelled,24,Twinder,Premium
169,02/20/2022 16:16:16,VRY,UA789,Ondo,Santa Rita,313,Delayed,14,Camido,Standard
170,10/29/2022 01:20:18,BEZ,AA123,Pingshui,Kiraman,264,Delayed,23,Feedfish,None
171,09/27/2022 01:19:46,EIY,AA123,,Saint Hubert,302,Cancelled,13,Twitterworks,Standard
172,05/28/2022 12:48:17,RDC,DL456,Yanqi,Kutorejo,192,Delayed,24,Camimbo,Premium
173,06/04/2022 12:47:24,FOK,UA789,,Hammam Sousse,94,Delayed,11,Tazzy,None
174,12/12/2022 03:25:11,WTT,AA123,Narathiwat,Kasserine,122,Delayed,19,Buzzster,Premium
175,03/13/2022 01:13:02,BLU,AA123,Jinguoping,Järfälla,20,Delayed,8,Topicblab,None
176,10/09/2022 00:15:02,HSJ,DL456,Lat Yao,Guanyang,190,Delayed,11,Pixope,Standard
177,08/15/2022 05:00:27,CTQ,AA123,Thaon-les-Vosges,Figueira,22,Delayed,14,Shuffletag,Standard
178,06/25/2022 15:52:16,SBD,UA789,Chengmagang,Delanggu,357,Cancelled,30,Skaboo,Standard
179,05/20/2022 00:59:59,OMY,DL456,Huancabamba,Quinjalca,8,On Time,10,Divavu,Premium
180,04/09/2022 11:06:24,YPO,AA123,Najd al Jumā‘ī,Lykóvrysi,147,Cancelled,20,Eamia,Standard
181,02/06/2022 23:02:37,TNH,UA789,Moose Jaw,Pawak,250,Delayed,3,Yotz,Premium
182,04/15/2022 03:01:33,SYO,AA123,Sunduk,Hrvatini,90,On Time,27,Gevee,Premium
183,06/15/2022 11:47:58,MBB,DL456,Majur,Tokoname,326,On Time,15,Youspan,Standard
184,03/30/2022 04:02:20,WML,DL456,Gibsons,Gaozhai,262,On Time,8,Jayo,None
185,03/14/2022 04:00:14,AAJ,UA789,Houmt Souk,Foz do Arelho,78,On Time,10,Gabcube,Premium
186,09/19/2022 18:30:28,SGR,DL456,Jianxin,Beddeng,301,Delayed,18,Nlounge,Premium
187,01/17/2022 22:37:48,OMO,AA123,La Azulita,Sasa,178,Cancelled,23,Dablist,Premium
188,10/08/2022 00:52:14,NRN,AA123,Pedro Miguel,Austin,299,Delayed,2,LiveZ,Standard
189,07/20/2022 16:19:11,ISI,AA123,Ban Na San,Moriyama,64,Cancelled,30,Meembee,None
190,12/18/2022 05:03:59,SRA,UA789,Klippan,Kaa-Khem,51,Cancelled,8,Quire,Standard
191,09/16/2022 03:24:14,HRM,DL456,Simeykyne,Paris 08,261,On Time,20,LiveZ,None
192,11/25/2022 06:30:45,GOP,AA123,Pesek,Serh,220,Delayed,24,Trupe,Standard
193,12/07/2022 10:27:06,MAP,DL456,Xincheng,Hegarsari,220,Delayed,19,Eare,Premium
194,02/15/2022 06:21:34,SLI,AA123,Bouças,Bwizibwera,232,Delayed,20,Jabberstorm,Premium
195,04/03/2022 05:35:05,IDN,AA123,Boyany,Votkinsk,160,Cancelled,2,Trudeo,Premium
196,05/01/2022 19:07:13,KKE,DL456,Nanshao,Simão Dias,78,Cancelled,14,Riffpath,Premium
197,01/01/2022 09:08:14,FUM,UA789,Beaconsfield,Xieqiao,357,On Time,16,Blogpad,None
198,07/12/2022 20:41:34,NTX,UA789,Mehendiganj,Albany,368,On Time,11,Gabvine,None
199,04/28/2022 16:33:46,0,UA789,Ipauçu,Liangting,147,On Time,9,Yombu,Standard
200,04/27/2022 12:22:25,WAZ,AA123,Mahīn,Ilovka,201,On Time,13,Realmix,Standard
201,03/02/2022 09:15:26,RYG,DL456,Gondomar,Ancona,45,On Time,16,Skinder,Premium
202,12/25/2022 07:26:10,GBH,AA123,Zhaocun,Cartagena,150,Delayed,16,Jabbersphere,Premium
203,10/19/2022 15:33:14,MVK,AA123,Jaroměřice nad Rokytnou,Op,166,On Time,9,Eabox,None
204,08/06/2022 22:16:03,LER,UA789,Tucheng,Napanee Downtown,262,On Time,11,Skalith,Premium
205,11/05/2022 16:26:57,SAF,UA789,Skuodas,Tulsa,82,On Time,6,Brainlounge,Premium
206,10/29/2022 01:10:27,PCN,UA789,Yueshan,El Dividive,6,On Time,23,Voomm,None
207,10/29/2022 10:51:58,BHS,AA123,Shuguang,Uva,290,Cancelled,25,Kwideo,Standard
208,10/22/2022 01:30:37,UGN,UA789,,Huogezhuang,128,Delayed,18,Pixope,Premium
209,02/28/2022 07:52:18,ATG,DL456,Jarabacoa,Sinamaica,54,On Time,3,Skilith,None
210,01/02/2022 01:23:23,MAD,AA123,Kortkeros,Changning,58,Delayed,19,Zazio,Premium
211,05/01/2022 16:14:43,MJO,DL456,Zhangxi,Peruc,341,Cancelled,21,Mynte,None
212,12/12/2022 16:08:40,IHO,DL456,Chengshan,Ochla,282,On Time,30,Yozio,Premium
213,09/24/2022 16:08:07,GYE,UA789,Iniö,Matamey,27,Cancelled,3,Yakitri,None
214,11/22/2022 18:01:19,WBB,DL456,Chico,El Cacao,258,Cancelled,18,Browseblab,Premium
215,10/11/2022 02:34:49,BWY,AA123,Tsurib,Jablonec nad Jizerou,242,Delayed,3,Flashspan,None
216,09/05/2022 10:09:19,OTJ,DL456,,Daveluyville,301,Cancelled,5,Zoombeat,Premium
217,11/22/2022 17:36:29,EMA,AA123,,Qiaoshi,257,On Time,28,Skinix,None
218,10/25/2022 23:09:46,WRN,DL456,Mandráki,Beiyang,188,Delayed,30,Twinte,None
219,01/05/2022 10:22:51,UDA,AA123,Radzanów,Xinghuo,343,Delayed,27,Zoozzy,Standard
220,07/06/2022 11:23:03,BSC,UA789,Huajialing,Quimper,201,Cancelled,13,Shufflester,Standard
221,05/25/2022 23:24:44,NKC,UA789,Ribeirão Pires,Mölndal,85,Delayed,10,Devcast,Standard
222,08/09/2022 14:45:03,WTT,UA789,Banepa,Houjiagang,80,On Time,6,Skipstorm,Premium
223,01/04/2022 23:24:34,SON,UA789,Oued Zem,Pingpo,218,Cancelled,23,Skyvu,None
224,05/31/2022 13:19:18,NQU,DL456,Idah,San Juan,288,On Time,5,Zoombeat,Standard
225,06/10/2022 18:31:56,HDM,AA123,Lamego,Cipari Satu,367,Cancelled,23,Topdrive,None
226,10/14/2022 15:33:44,VEV,UA789,Haicheng,Bokong Timur,173,Cancelled,22,Skiba,Standard
227,06/18/2022 05:50:47,DNX,AA123,Senanga,Manola,381,On Time,20,Yombu,Premium
228,02/06/2022 14:24:42,MGW,UA789,Texíguat,Chengjiang,235,On Time,4,Gevee,Standard
229,02/22/2022 19:09:11,ROV,AA123,,Kaišiadorys,256,On Time,27,BlogXS,None
230,03/09/2022 03:11:14,GTY,UA789,Bhamo,‘Izbat al Burj,179,Cancelled,21,Skinix,Standard
231,05/17/2022 22:34:16,JSJ,UA789,Mūdīyah,Diriamba,148,On Time,29,Thoughtsphere,None
232,07/03/2022 09:44:45,SYO,UA789,Gachalá,Parung,360,Delayed,6,Roodel,Premium
233,04/01/2022 07:44:37,BZN,DL456,Lanhe,Xieyang,198,Cancelled,9,Babbleopia,None
234,01/28/2022 01:10:09,XGR,UA789,Villa Atamisqui,Kayima,65,On Time,21,Chatterbridge,None
235,03/13/2022 20:54:32,GJA,AA123,Kutamangu,Yelwa,99,Cancelled,3,Skaboo,Premium
236,12/28/2022 21:04:40,THH,AA123,Malibago,Nangka,195,On Time,26,Linkbuzz,Standard
237,05/09/2022 18:18:57,RDU,DL456,Bielsk Podlaski,Staraya Toropa,38,Delayed,1,Minyx,Standard
238,05/11/2022 18:05:34,NCA,UA789,Bangkal,Jargalant,53,Delayed,8,Blogtag,Premium
239,01/19/2022 12:26:49,RFP,AA123,Lāliān,Vacaria,198,On Time,17,Wordware,Standard
240,02/17/2022 01:02:14,LCJ,AA123,Thatta,Songjiang,87,On Time,6,Vitz,Premium
241,11/05/2022 11:03:43,CUL,UA789,Hamburg,Boronów,71,Cancelled,4,Zoonoodle,None
242,03/21/2022 16:07:44,JVI,UA789,Changfu,Pirot,117,Delayed,18,Eire,Premium
243,06/18/2022 18:15:31,XLS,UA789,Karak City,Haikoudajie,53,Delayed,10,Twitterwire,None
244,09/21/2022 23:09:48,GUA,AA123,Somdet,Cikijing,56,Delayed,29,Dynabox,Standard
245,11/09/2022 12:34:59,SUJ,DL456,Daze,Osby,114,On Time,5,Meevee,None
246,05/05/2022 15:10:57,SLP,UA789,Ouaoula,Hengli,384,Cancelled,21,Bubblebox,None
247,08/18/2022 01:05:05,NTC,AA123,Perth,Li’an,94,Delayed,4,Centizu,Premium
248,08/17/2022 21:45:02,LIP,DL456,,Jacinto Arauz,68,Cancelled,18,Fadeo,Standard
249,07/11/2022 05:59:58,DOA,AA123,Varberg,Mlawat,188,Cancelled,20,Shufflebeat,Standard
250,01/18/2022 09:27:21,OAI,UA789,Iúna,Qingxi,252,Cancelled,11,Roombo,Standard
251,01/27/2022 09:57:16,WTZ,UA789,Hongtu,Chamalières,10,On Time,15,Devpoint,Premium
252,03/11/2022 08:07:44,DAP,UA789,Shuangmiaojie,Itapira,223,On Time,26,LiveZ,None
253,03/06/2022 06:39:21,CDD,DL456,Cililitan,Pendiqing,331,On Time,24,Wikizz,None
254,05/24/2022 23:18:05,AOO,UA789,Maticmatic,Lilio,221,On Time,2,Zazio,None
255,06/18/2022 23:13:02,YMJ,DL456,Jelat,Ḩabūr,210,Cancelled,5,Shuffletag,Standard
256,09/22/2022 14:08:32,EQS,DL456,Maganha,Novyy Urengoy,393,Cancelled,9,Voonder,Premium
257,01/21/2022 14:31:21,GGL,DL456,Béoumi,Guaiúba,107,Cancelled,3,Meevee,Standard
